KEY,SECTION,ELEMENT,ENGLISH (EN),ARMENIAN (HY),RUSSIAN (RU),IMAGE URL / ASSET,NOTES,CURRENT SOURCE
nav.about,Navigation,Main menu - About,About,,,,Shared top navigation,src/i18n/locales/en.json
nav.doctors,Navigation,Main menu - Doctors,Doctors,,,,Shared top navigation,src/i18n/locales/en.json
nav.services,Navigation,Main menu - Services,Services,,,,Shared top navigation,src/i18n/locales/en.json
nav.reviews,Navigation,Main menu - Reviews,Reviews,,,,Shared top navigation,src/i18n/locales/en.json
nav.faq,Navigation,Main menu - FAQ,FAQ,,,,Shared top navigation,src/i18n/locales/en.json
nav.blog,Navigation,Main menu - Blog,Blog,,,,Shared top navigation,src/i18n/locales/en.json
nav.contact,Navigation,Main menu - Contact,Contact,,,,Shared top navigation,src/i18n/locales/en.json
nav.bookAppointment,Navigation,CTA button,Book Appointment,,,,Shared top navigation CTA,src/i18n/locales/en.json
nav.phone,Navigation,Phone number,+374 10 210122,,,,Verified clinic number,src/i18n/locales/en.json
slider.slides.0.image,Hero Slider — Slide 1,Background image,,,,https://images.unsplash.com/photo-1643660527098-559f89e45a92?w=1600&h=900&fit=crop&auto=format,Replace with approved clinic image,src/app/components/PhotoSlider.tsx
slider.slides.0.tag,Hero Slider — Slide 1,Tag / badge label,Advanced Implantology,,,,Slide 1 copy,src/i18n/locales/en.json
slider.slides.0.title.line1,Hero Slider — Slide 1,Main title line 1,Restore Your Smile,,,,Slide 1 copy,src/i18n/locales/en.json
slider.slides.0.title.line2,Hero Slider — Slide 1,Main title line 2,With Dental Implants,,,,Slide 1 copy,src/i18n/locales/en.json
slider.slides.0.desc,Hero Slider — Slide 1,Description,Permanent natural-looking tooth replacements — from single implants to full-arch restorations.,,,,Slide 1 copy,src/i18n/locales/en.json
slider.slides.0.cta,Hero Slider — Slide 1,Primary button,Our Services,,,,Link goes to /services,src/i18n/locales/en.json
slider.bookConsultation,Hero Slider — Slide 1,Secondary button,Book Free Consultation,,,,Shared secondary button,src/i18n/locales/en.json
slider.slides.1.image,Hero Slider — Slide 2,Background image,,,,https://images.unsplash.com/photo-1629909613654-28e377c37b09?w=1600&h=900&fit=crop&auto=format,Replace with approved clinic image,src/app/components/PhotoSlider.tsx
slider.slides.1.tag,Hero Slider — Slide 2,Tag / badge label,Modern Equipment,,,,Slide 2 copy,src/i18n/locales/en.json
slider.slides.1.title.line1,Hero Slider — Slide 2,Main title line 1,State-of-the-Art,,,,Slide 2 copy,src/i18n/locales/en.json
slider.slides.1.title.line2,Hero Slider — Slide 2,Main title line 2,Clinic & Technology,,,,Slide 2 copy,src/i18n/locales/en.json
slider.slides.1.desc,Hero Slider — Slide 2,Description,"3D scanning, digital X-rays, CAD/CAM same-day crowns — precision dentistry in a comfortable setting.",,,,Slide 2 copy,src/i18n/locales/en.json
slider.slides.1.cta,Hero Slider — Slide 2,Primary button,About Us,,,,Link goes to /about,src/i18n/locales/en.json
slider.slides.2.image,Hero Slider — Slide 3,Background image,,,,https://images.unsplash.com/photo-1606811971618-4486d14f3f99?w=1600&h=900&fit=crop&auto=format,Replace with approved clinic image,src/app/components/PhotoSlider.tsx
slider.slides.2.tag,Hero Slider — Slide 3,Tag / badge label,Cosmetic Dentistry,,,,Slide 3 copy,src/i18n/locales/en.json
slider.slides.2.title.line1,Hero Slider — Slide 3,Main title line 1,Your Dream Smile,,,,Slide 3 copy,src/i18n/locales/en.json
slider.slides.2.title.line2,Hero Slider — Slide 3,Main title line 2,Starts Here,,,,Slide 3 copy,src/i18n/locales/en.json
slider.slides.2.desc,Hero Slider — Slide 3,Description,"Veneers, whitening, bonding and full smile makeovers performed by award-winning cosmetic specialists.",,,,Slide 3 copy,src/i18n/locales/en.json
slider.slides.2.cta,Hero Slider — Slide 3,Primary button,Our Services,,,,Link goes to /services,src/i18n/locales/en.json
slider.slides.3.image,Hero Slider — Slide 4,Background image,,,,https://images.unsplash.com/photo-1609840114035-3c981b782dfe?w=1600&h=900&fit=crop&auto=format,Replace with approved clinic image,src/app/components/PhotoSlider.tsx
slider.slides.3.tag,Hero Slider — Slide 4,Tag / badge label,Orthodontics,,,,Slide 4 copy,src/i18n/locales/en.json
slider.slides.3.title.line1,Hero Slider — Slide 4,Main title line 1,"Straighter Teeth,",,,,Slide 4 copy,src/i18n/locales/en.json
slider.slides.3.title.line2,Hero Slider — Slide 4,Main title line 2,Clearer Confidence,,,,Slide 4 copy,src/i18n/locales/en.json
slider.slides.3.desc,Hero Slider — Slide 4,Description,Invisalign and ceramic braces tailored to adults and teens — start with a free 3D simulation.,,,,Slide 4 copy,src/i18n/locales/en.json
slider.slides.3.cta,Hero Slider — Slide 4,Primary button,Meet Our Doctors,,,,Link goes to /doctors,src/i18n/locales/en.json
home.stats.0.value,Stats Bar,Stat 1 value,12+,,,,Replace with real number if different,src/app/pages/Home.tsx
home.stats.years,Stats Bar,Stat 1 label,Years of Excellence,,,,Stats label,src/i18n/locales/en.json
home.stats.1.value,Stats Bar,Stat 2 value,"8,400+",,,,Replace with real number if different,src/app/pages/Home.tsx
home.stats.patients,Stats Bar,Stat 2 label,Happy Patients,,,,Stats label,src/i18n/locales/en.json
home.stats.2.value,Stats Bar,Stat 3 value,18,,,,Replace with real number if different,src/app/pages/Home.tsx
home.stats.doctors,Stats Bar,Stat 3 label,Specialist Doctors,,,,Stats label,src/i18n/locales/en.json
home.stats.3.value,Stats Bar,Stat 4 value,99%,,,,Replace with real number if different,src/app/pages/Home.tsx
home.stats.satisfaction,Stats Bar,Stat 4 label,Satisfaction Rate,,,,Stats label,src/i18n/locales/en.json
home.services.badge,Services Overview,Section badge,What We Offer,,,,Home services section,src/i18n/locales/en.json
home.services.title,Services Overview,Section title,Comprehensive Dental Services,,,,Home services section,src/i18n/locales/en.json
home.services.viewAll,Services Overview,Link - view all,All Services,,,,Home services section,src/i18n/locales/en.json
