CATEGORY,ORDER,QUESTION (EN),QUESTION (HY),QUESTION (RU),ANSWER (EN),ANSWER (HY),ANSWER (RU),NOTES
general,1,How often should I visit the dentist?,,,We recommend visiting every 6 months for a routine check-up and professional cleaning. However patients with gum disease a history of cavities or orthodontic appliances may need to come in more frequently — typically every 3–4 months.,,,
general,2,What should I bring to my first appointment?,,,Please bring a valid photo ID your insurance card if applicable any previous dental X-rays taken in the last 2 years and a list of any medications you are currently taking. Arriving 10 minutes early to complete your intake form is helpful.,,,
general,3,Do you accept walk-ins?,,,We accommodate dental emergencies on a same-day basis. For all other treatments we recommend booking in advance to secure your preferred time with your chosen specialist.,,,
treatments,1,Is teeth whitening safe?,,,Yes. Professional in-office whitening is completely safe when performed by a qualified dentist. Our whitening gel is hydrogen-peroxide based and carefully formulated to minimize sensitivity. We always conduct a pre-treatment assessment to ensure your enamel and gums are healthy enough for the procedure.,,,
treatments,2,How long do dental implants last?,,,With proper care and maintenance dental implants can last a lifetime. The titanium post is permanent; the crown on top typically lasts 15–25 years before needing replacement due to normal wear. Regular brushing flossing and biannual check-ups are key to implant longevity.,,,
treatments,3,Are veneers reversible?,,,Traditional porcelain veneers require a small amount of enamel removal and are therefore considered irreversible. However ultra-thin no-prep veneers exist in some cases. During your consultation Dr. Marchetti will discuss all options and help you decide what's best for your situation.,,,
treatments,4,How painful is a root canal?,,,Modern root canal therapy is no more uncomfortable than getting a filling. We use advanced local anesthesia and where appropriate sedation dentistry to ensure you feel nothing during the procedure. Most patients are surprised by how routine the experience is.,,,
invisalign,1,Am I a candidate for Invisalign?,,,Invisalign can treat mild to moderate crowding spacing and bite issues in both adults and teenagers. Severe malocclusions may still require traditional braces. The best way to determine candidacy is with a free consultation — Dr. Reid can show you a 3D simulation of your expected results.,,,
invisalign,2,How long does Invisalign treatment take?,,,Treatment time varies from 6 to 24 months depending on complexity. The average full-arch case at DentaCare takes 12–14 months. Minor corrections can sometimes be completed in as little as 6 months.,,,
payment,1,Do you accept dental insurance?,,,Yes. We are in-network with most major dental insurance providers including Delta Dental Cigna Aetna MetLife and United Concordia. Our billing team will verify your coverage before your appointment and explain any out-of-pocket costs clearly.,,,
payment,2,Do you offer payment plans?,,,We offer flexible 0% interest financing through CareCredit and Lending Club for up to 24 months on treatments over $500. We also accept all major credit cards HSA and FSA funds.,,,
payment,3,What is the cost of a consultation?,,,Initial consultations at DentaCare are completely free of charge. This includes a full oral examination and a personalized treatment plan. X-rays if required are billed separately but are typically covered by insurance.,,,
