SECTION,ELEMENT,LOCATION ON PAGE,ENGLISH (EN),ARMENIAN (HY),RUSSIAN (RU),IMAGE,NOTES
,,,,,,,
,,,,,,,
IMAGE REQUIREMENTS,,,,,,,"📐 Read before uploading any image"
,Slider images,Full screen background,,,,,1600 × 900 px | JPG or WebP | max 500 KB | keep subject center-right (left half covered by text overlay)
,Section images,Inside page sections,,,,,700 × 600 px | JPG or WebP | max 300 KB
,Doctor photos,Doctor profile cards,,,,,400 × 480 px | JPG | max 200 KB | portrait orientation | clean background preferred
,Blog covers,Blog article cards,,,,,600 × 380 px | JPG or WebP | max 200 KB
,,,,,,,
,,,,,,,
NAVIGATION BAR,,,,,,,Fixed top bar — visible on all pages
,Main menu - About,Top nav link,About,,,,"Same label used on all pages"
,Main menu - Doctors,Top nav link,Doctors,,,,
,Main menu - Services,Top nav link,Services,,,,
,Main menu - Reviews,Top nav link,Reviews,,,,
,Main menu - FAQ,Top nav link,FAQ,,,,
,Main menu - Blog,Top nav link,Blog,,,,
,Main menu - Contact,Top nav link,Contact,,,,
,CTA Button,Top right button,Book Appointment,,,,
,Phone number,Top right,+1 800 555 1234,,,,"⚠️ Replace with real clinic number"
,,,,,,,
HERO SLIDER — SLIDE 1,,,,,,,Full-screen background image with text overlay
,🖼️ Background image,Full screen behind text,,,,[Upload image here],"1600 × 900 px | Subject: dental chair / clinic room / treatment in progress"
,Tag / badge label,Small pill above title,Advanced Implantology,,,,
,Main title line 1,Large heading — line 1,Restore Your Smile,,,,
,Main title line 2,Large heading — line 2,With Dental Implants,,,,
,Description,Text below title,Permanent natural-looking tooth replacements — from single implants to full-arch restorations.,,,,
,Button — primary,Main action button,Our Services,,,,"Link → /services"
,Button — secondary,Book button,Book Free Consultation,,,,"Link → /contact"
,,,,,,,
HERO SLIDER — SLIDE 2,,,,,,,Full-screen background image with text overlay
,🖼️ Background image,Full screen behind text,,,,[Upload image here],"1600 × 900 px | Subject: modern clinic interior / equipment / 3D scanner"
,Tag / badge label,Small pill above title,Modern Equipment,,,,
,Main title line 1,Large heading — line 1,State-of-the-Art,,,,
,Main title line 2,Large heading — line 2,Clinic & Technology,,,,
,Description,Text below title,"3D scanning, digital X-rays, CAD/CAM same-day crowns — precision dentistry in a comfortable setting.",,,,
,Button — primary,Main action button,About Us,,,,"Link → /about"
,Button — secondary,Book button,Book Free Consultation,,,,"Link → /contact"
,,,,,,,
HERO SLIDER — SLIDE 3,,,,,,,Full-screen background image with text overlay
,🖼️ Background image,Full screen behind text,,,,[Upload image here],"1600 × 900 px | Subject: patient smiling / cosmetic result / bright smile"
,Tag / badge label,Small pill above title,Cosmetic Dentistry,,,,
,Main title line 1,Large heading — line 1,Your Dream Smile,,,,
,Main title line 2,Large heading — line 2,Starts Here,,,,
,Description,Text below title,"Veneers, whitening, bonding and full smile makeovers performed by award-winning cosmetic specialists.",,,,
,Button — primary,Main action button,Our Services,,,,"Link → /services"
,Button — secondary,Book button,Book Free Consultation,,,,"Link → /contact"
,,,,,,,
HERO SLIDER — SLIDE 4,,,,,,,Full-screen background image with text overlay
