KEY,SECTION,ELEMENT,ENGLISH (EN),ARMENIAN (HY),RUSSIAN (RU),NOTES,CURRENT SOURCE
nav.about,Navigation,Main menu - About,About,,,Shared top navigation,src/i18n/locales/en.json
nav.doctors,Navigation,Main menu - Doctors,Doctors,,,Shared top navigation,src/i18n/locales/en.json
nav.services,Navigation,Main menu - Services,Services,,,Shared top navigation,src/i18n/locales/en.json
nav.reviews,Navigation,Main menu - Reviews,Reviews,,,Shared top navigation,src/i18n/locales/en.json
nav.faq,Navigation,Main menu - FAQ,FAQ,,,Shared top navigation,src/i18n/locales/en.json
nav.blog,Navigation,Main menu - Blog,Blog,,,Shared top navigation,src/i18n/locales/en.json
nav.contact,Navigation,Main menu - Contact,Contact,,,Shared top navigation,src/i18n/locales/en.json
nav.bookAppointment,Navigation,CTA button,Book Appointment,,,Shared top navigation CTA,src/i18n/locales/en.json
nav.phone,Navigation,Phone number,+374 10 210122,,,Verified clinic number,src/i18n/locales/en.json
footer.description,Footer,Brand description,Modern dental care with a personal touch. Our team of specialists is dedicated to your smile and long-term oral health.,,,Shared footer text,src/i18n/locales/en.json
footer.pages,Footer,Pages column title,Pages,,,Shared footer label,src/i18n/locales/en.json
footer.ourDoctors,Footer,Pages link - Our Doctors,Our Doctors,,,Shared footer label,src/i18n/locales/en.json
footer.patientReviews,Footer,Pages link - Patient Reviews,Patient Reviews,,,Shared footer label,src/i18n/locales/en.json
footer.services,Footer,Services column title,Services,,,Shared footer label,src/i18n/locales/en.json
footer.contact,Footer,Contact column title,Contact,,,Shared footer label,src/i18n/locales/en.json
footer.servicesList.whitening,Footer,Service link - Whitening,Teeth Whitening,,,Shared footer service link,src/i18n/locales/en.json
footer.servicesList.implants,Footer,Service link - Implants,Dental Implants,,,Shared footer service link,src/i18n/locales/en.json
footer.servicesList.orthodontics,Footer,Service link - Orthodontics,Orthodontics,,,Shared footer service link,src/i18n/locales/en.json
footer.servicesList.veneers,Footer,Service link - Veneers,Veneers,,,Shared footer service link,src/i18n/locales/en.json
footer.servicesList.rootCanal,Footer,Service link - Root Canal,Root Canal,,,Shared footer service link,src/i18n/locales/en.json
footer.servicesList.pediatric,Footer,Service link - Pediatric,Pediatric Dentistry,,,Shared footer service link,src/i18n/locales/en.json
footer.servicesList.cosmetic,Footer,Service link - Cosmetic,Cosmetic Dentistry,,,Shared footer service link,src/i18n/locales/en.json
footer.address,Footer,Address,"5 Aram Khachatryan St.
Yerevan 0033
Armenia",,,Verified clinic address,src/i18n/locales/en.json
footer.website,Footer,Website,matikyan.am,,,Verified clinic website,src/i18n/locales/en.json
footer.hours1,Footer,Hours - weekdays,Mon - Fri: 10:00 - 20:00,,,Verified business hours,src/i18n/locales/en.json
footer.hours2,Footer,Hours - Saturday,Sat: 10:00 - 14:00,,,Verified business hours,src/i18n/locales/en.json
footer.hours3,Footer,Hours - Sunday,Sun: Closed,,,Verified business hours,src/i18n/locales/en.json
footer.copyright,Footer,Copyright,© 2026 Matikyan Stomatology Center. All rights reserved.,,,Shared footer legal text,src/i18n/locales/en.json
footer.privacy,Footer,Privacy link,Privacy Policy,,,Shared footer legal link,src/i18n/locales/en.json
footer.terms,Footer,Terms link,Terms of Service,,,Shared footer legal link,src/i18n/locales/en.json
