CATEGORY,TITLE (EN),TITLE (HY),TITLE (RU),TAGLINE (EN),TAGLINE (HY),TAGLINE (RU),DESCRIPTION (EN),DESCRIPTION (HY),DESCRIPTION (RU),PRICE,DURATION,RATING,IMAGE URL,BENEFIT 1 (EN),BENEFIT 2 (EN),BENEFIT 3 (EN),BENEFIT 4 (EN),NOTES
Preventive,Dental Cleaning & Check-up,,,Foundation of a healthy smile,,,"Professional teeth cleaning removes tartar and plaque that regular brushing can't reach. Combined with a full oral examination, digital X-rays, and gum health assessment.",,,From $80,60 min,4.9,https://images.unsplash.com/photo-1588776814546-1ffbb172601e?w=600&h=400&fit=crop&auto=format,Removes tartar and staining,Early cavity detection,Gum disease screening,Personalized oral hygiene advice,
Cosmetic,Professional Teeth Whitening,,,Up to 8 shades brighter in one visit,,,"In-office laser whitening using a professional-grade hydrogen peroxide gel activated by a specialized light. Safe, effective, and long-lasting results in under 90 minutes.",,,From $350,90 min,5.0,https://images.unsplash.com/photo-1606811971618-4486d14f3f99?w=600&h=400&fit=crop&auto=format,8+ shades lighter,Single visit treatment,Minimal sensitivity formula,Take-home maintenance kit included,
Cosmetic,Porcelain Veneers,,,The Hollywood smile perfected,,,"Ultra-thin porcelain shells custom-crafted to cover the front surface of teeth. Correct chips, stains, gaps, and irregular shapes with results that look and feel completely natural.",,,From $900/tooth,2 appointments,5.0,https://images.unsplash.com/photo-1609840114035-3c981b782dfe?w=600&h=400&fit=crop&auto=format,Natural-looking results,Stain-resistant porcelain,15–20 year lifespan,Custom color matching,
Cosmetic,Composite Bonding,,,Single-visit smile enhancement,,,"Tooth-colored resin applied and sculpted directly onto teeth to repair chips, close gaps, and reshape irregular surfaces. A cost-effective alternative to veneers with zero enamel removal.",,,From $250/tooth,60–90 min,4.8,https://images.unsplash.com/photo-1629909613654-28e377c37b09?w=600&h=400&fit=crop&auto=format,No enamel removal,Same-day results,Reversible treatment,Seamlessly color-matched,
Restorative,Dental Implants,,,Permanent tooth replacement,,,"Titanium posts surgically placed in the jawbone to support a natural-looking crown. The gold standard for missing teeth, preserving bone density and providing a lifetime of function.",,,From $2,400,3–6 months,4.9,https://images.unsplash.com/photo-1551601651-2a8555f1a136?w=600&h=400&fit=crop&auto=format,Permanent solution,Preserves jawbone,No impact on adjacent teeth,Lifetime durability with care,
Restorative,Same-Day Crowns (CEREC),,,Crown in a single appointment,,,"Using CAD/CAM technology, we design and mill a precision ceramic crown on-site while you wait. No temporaries, no second visit — just a perfect crown, same day.",,,From $1,100,2 hours,4.9,https://images.unsplash.com/photo-1594824476967-48c8b964273f?w=600&h=400&fit=crop&auto=format,Single-visit treatment,Digital precision fit,Metal-free ceramic,No temporary crowns,
Restorative,Root Canal Treatment,,,Save your natural tooth pain-free,,,"Modern endodontic therapy to remove infected pulp and seal the tooth canal. With advanced anesthesia and rotary instruments, most patients report feeling little to no discomfort.",,,From $700,60–90 min,4.9,https://images.unsplash.com/photo-1622253692010-333f2da6031d?w=600&h=400&fit=crop&auto=format,Saves natural tooth,Pain-free procedure,Laser-assisted option,High success rate,
Orthodontics,Invisalign Clear Aligners,,,Straighten teeth discreetly,,,"Removable clear aligners that gradually shift teeth into alignment. 3D scanning allows you to visualize your final result before starting. Suitable for mild to moderate cases.",,,From $3,200,6–24 months,5.0,https://images.unsplash.com/photo-1612349317150-e413f6a5b16d?w=600&h=400&fit=crop&auto=format,Virtually invisible,Removable for eating,3D result preview,No dietary restrictions,
Orthodontics,Ceramic Braces,,,Effective and discreet correction,,,"Tooth-colored ceramic brackets blending with natural tooth color for a less visible appearance than metal braces. Ideal for complex alignment and bite corrections in all ages.",,,From $2,800,12–24 months,4.8,https://images.unsplash.com/photo-1582750433449-648ed127bb54?w=600&h=400&fit=crop&auto=format,Tooth-colored brackets,Handles complex cases,Adults and teens,Precise bite correction,
Surgery,Periodontal Treatment,,,Advanced gum disease therapy,,,"Comprehensive treatment for all stages of gum disease — from deep cleaning and scaling to laser-assisted periodontal therapy and regenerative procedures.",,,From $450,Varies by stage,4.9,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=600&h=400&fit=crop&auto=format,All gum disease stages,Laser-assisted option,Bone regeneration available,Maintenance program included,
Surgery,Wisdom Tooth Extraction,,,Safe comfortable removal,,,"Surgical and non-surgical removal of impacted and problematic wisdom teeth. Performed under local anesthesia with sedation options available for anxious patients.",,,From $300/tooth,45–90 min,4.8,https://images.unsplash.com/photo-1590031905470-a1a1feacbb0b?w=600&h=400&fit=crop&auto=format,Sedation available,Same-day procedure,Minimal recovery time,Detailed aftercare support,
Pediatric,Pediatric Dentistry,,,Gentle care for little smiles,,,"Specialized dental care designed for children from age 1 through teenage years. Child-friendly environment, preventive treatments, and early orthodontic monitoring.",,,From $60,30–60 min,5.0,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=600&h=400&fit=crop&auto=format,Age 1+ welcome,Fear-free approach,Sealants and fluoride,Early ortho assessment,
